State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Missouri,Reporting Timeline: 1 day; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 day; Isolate required: Y,2,Reporting Timeline:  1 day; Isolate required: N,2,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  1 day; Isolate required: N,2,Reporting Timeline:  1 day; Isolate required: Y,1,Reporting Timeline:  1 day (VISA/VRSA); weekly (MRSA); Isolate required: Y,2,Reporting Timeline:  3 days; Isolate required: N,2,Reporting Timeline:  1 day; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: N,3,Reporting Timeline:  3 days; Isolate required: N,3,Reporting Timeline:  3 days; Isolate required: N,3,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  1 day,2,Reporting Timeline:  3 days; Isolate required: N,4
Montana,Reporting Timeline: 7 days; Isolate required: Y,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Same day; Isolate required: N,1,Not Reportable,N,Reporting Timeline:  Same day; Isolate required: N,1,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  Same day; Isolate required: Y,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Not Reportable,N
Nebraska,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  Immediately (IgM antibody-positive or if outbreak),1,Reporting Timeline:  7 days; Isolate required: Y,4
Nevada,Reporting Timeline: Next business day; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,4,Reporting Timeline:  Next business day; Isolate required: Y,3,Reporting Timeline:  Next business day; Isolate required: N,3,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,4,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,4,Reporting Timeline:  Next business day; Isolate required: N,2,Reporting Timeline:  Next business day; Isolate required: Y,4,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day; Isolate required: Y,2,Reporting Timeline:  Next business day,2,Not Reportable,N,Reporting Timeline:  Next business day,1,Reporting Timeline:  Next business day,2,Reporting Timeline:  Next business day,4,Not Reportable,N
New Hampshire,Reporting Timeline: 24 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,4,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  72 hours; Isolate required: N,3,Not Reportable,N,Reporting Timeline:  72 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  24 hours,2,Not Reportable,N
New Jersey,Reporting Timeline: Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y (3 days),2,Reporting Timeline:  24 hours; Isolate required: Y (3 days),2,Reporting Timeline:  24 hours; Isolate required: Y (3 days),1,Reporting Timeline:  24 hours; Isolate required: Y (3 days),1,Reporting Timeline:  24 hours; Isolate required: Y (3 days),2,Reporting Timeline:  24 hours; Isolate required: Y (3 days),1,Reporting Timeline:  24 hours; Isolate required: Y (3 days),2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  Immediately,1,Reporting Timeline:  24 hours; Isolate required: Y,1
New Mexico,Reporting Timeline: 24 hours; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours; Isolate required: Y,1
New York,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y (VISA/VRSA only),2,Reporting Timeline:  24 hours; Isolate required: Y (pneumoniae only),1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours (immediately if in a food handler),2,Not Reportable,N
North Carolina,Reporting Timeline: 7 days; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,"Reporting Timeline:  24 hours for typhoid; 7 days for ""typhoid carraige (salmonella typhi); Isolate required: N",4,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Not Reportable,N
North Dakota,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days (Immediately for VRSA/VISA); Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  Immediately,1,Not Reportable,N
Ohio,Reporting Timeline: End of business week; Isolate required: Y (if applicable),4,Reporting Timeline:  Immediately; Isolate required: Y (if applicable),1,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),3,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),3,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),2,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),2,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),4,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),2,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),4,Reporting Timeline:  End of business week; Isolate required: Y (if applicable),3,Reporting Timeline:  Immediately; Isolate required: Y (if applicable),1,Reporting Timeline:  End of business week; Isolate required: Y (if applicable),4,Reporting Timeline:  End of business week; Isolate required: Y (if applicable),3,Reporting Timeline:  End of business week; Isolate required: Y (if applicable),3,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of next business day,2,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of next business day,4,Reporting Timeline:  End of next business day; Isolate required: Y (if applicable),3
Oklahoma,Reporting Timeline: 1 business day; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day; Isolate required: Y,4,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day,1,Not Reportable,N,Not Reportable,N,Reporting Timeline:  1 business day,1,Reporting Timeline:  Immediately,1,Not Reportable,N
Oregon,Reporting Timeline: 1 working day; Isolate required: N,3,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 working day; Isolate required: Y,1,Reporting Timeline:  1 working day; Isolate required: Y,3,Reporting Timeline:  1 working day; Isolate required: Y,2,Reporting Timeline:  1 week; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  Immediately; Isolate required: Y,1,Not Reportable,2,Not Reportable,2,Not Reportable,2,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,1,Reporting Timeline:  1 working day,3,Reporting Timeline:  1 working day; Isolate required: N,2
Pennsylvania,Reporting Timeline: 5 work days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: Y (within 5 work days),2,Reporting Timeline:  24 hours; Isolate required: Y (within 5 work days),2,Reporting Timeline:  5 work days; Isolate required: N,4,Reporting Timeline:  5 work days; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y (5 work days),2,Reporting Timeline:  5 work days; Isolate required: Y,3,Reporting Timeline:  5 work days; Isolate required: N,4,Reporting Timeline:  5 work days; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,3,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  5 work days,3,Not Reportable,N,Reporting Timeline:  5 work days,3,Reporting Timeline:  5 work days,3,Reporting Timeline:  5 work days,4,Not Reportable,N
Rhode Island*,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  4 days; Isolate required: Y,4,Reporting Timeline:  4 days; Isolate required: Y,4,Reporting Timeline:  4 days; Isolate required: Y,4,Reporting Timeline:  4 days; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  4 days; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  4 days; Isolate required: N,3,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Not Reportable,N,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  4 days,3,Reporting Timeline:  Immediately,1,Not Reportable,N
South Carolina,Reporting Timeline: 24 hours; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours VISA/VRSA; 7 days MRSA; Isolate required: Y (VISA/VRSA only),2,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
South Dakota,Reporting Timeline: 3 days; Isolate required: Y,4,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y (VISA/VRSA only),4,Reporting Timeline:  3 days; Isolate required: N,2,Reporting Timeline:  Immediately; Isolate required: N,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,4,Reporting Timeline:  3 days; Isolate required: N,4
Tennessee,Reporting Timeline: Immediately (next business day notification); Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  Immediately (Next business day notification); Isolate required: Y,2,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  Immediately (next day notification) for VISA VRSA; 1 week MRSA; Isolate required: Y (VISA/VRSA only),2,Reporting Timeline:  Immediately (next business day notification); Isolate required: Y,1,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week,4,Reporting Timeline:  1 week,4,Not Reportable,N,Reporting Timeline:  1 week,4,Reporting Timeline:  Immediately (next business day notification),2,Reporting Timeline:  Immediately (next business day notification); Isolate required: Y,1
Texas,Reporting Timeline: 1 work days; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: Y,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  1 work day; Isolate required: Y,4,Reporting Timeline:  1 work day; Isolate required: Y,2,Reporting Timeline:  1 work day; Isolate required: Y,2,Reporting Timeline:  1 work day; Isolate required: Y,2,Reporting Timeline:  1 week,4,Reporting Timeline:  1 week,4,Not Reportable,N,Reporting Timeline:  1 week,4,Reporting Timeline:  1 work day,3,Reporting Timeline:  1 work day; Isolate required: Y,2
Utah,Reporting Timeline: 3 business days; Isolate required: Y,4,Reporting Timeline:  24 hours; Isolate required: Y,4,Reporting Timeline:  3 business days; Isolate required: Y,4,Reporting Timeline:  3 business days; Isolate required: Y,4,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  3 business days; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  24 hours,2,Not Reportable,N
Vermont,Reporting Timeline: 24 hours; Isolate required: N,2,Reporting Timeline:  Immediately ; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,3,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
Virginia,Reporting Timeline: Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  3 days; Isolate required: Y,3,Reporting Timeline:  3 days; Isolate required: Y,4,Reporting Timeline:  3 days; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  3 days,2,Reporting Timeline:  Immediately,1,Reporting Timeline:  Immediately; Isolate required: Y,1
Washington,Reporting Timeline: 24 hours; Isolate required: Y (2 working days),2,Reporting Timeline:  Immediately; Isolate required: Y (2 working days),1,Reporting Timeline:  Immediately; Isolate required: Y (2 working days),1,Reporting Timeline:  Immediately; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),2,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 business days),2,Not Reportable,N,Reporting Timeline:  Immediately; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  24 hours; Isolate required: Y (2 working days),1,Reporting Timeline:  3 working days,3,Reporting Timeline:  3 working days,3,Reporting Timeline:  3 working days,3,Reporting Timeline:  3 working days,3,Reporting Timeline:  24 hours,2,Not Reportable,N
West Virginia,Reporting Timeline: 24 hours; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  72 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  1 week; Isolate required: N,4,Reporting Timeline:  24 hours; Isolate required: Y,3,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours; Isolate required: N,1
Wisconsin,Reporting Timeline: 72 hours; Isolate required: On request,4,Reporting Timeline:  Immediately; Isolate required: On request,1,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,4,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  Immediately; Isolate required: On request,1,Reporting Timeline:  72 hours; Isolate required: On request,2,Reporting Timeline:  Immediately; Isolate required: On request,1,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours; Isolate required: On request,3,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  Immediately,1,Reporting Timeline:  72 hours; Isolate required: On request,4
Wyoming,Reporting Timeline: 24 hours; Isolate required: Y,2,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,3,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Reporting Timeline:  24 hours; Isolate required: Y,1
