State,Brucella Submission Timeline,Brucella Rank,Botulism Submission Timeline,Botulism Rank,E. coli O157 Submission Timeline,E. coli O157 Rank,Other Shiga-toxin E. coli Submission Timeline,Other Shiga-toxin E. coli Rank,Listeria Submission Timeline,Listeria Rank,Salmonella Submission Timeline,Salmonella Rank,Typhoid Fever Submission Timeline,Typhoid Fever Rank,Shigella Submission Timeline,Shigella Rank,Staphylococcus aureus Submission Timeline,Staphylococcus aureus Rank,Streptococcus Group A Submission Timeline,Streptococcus Group A Rank,Cholera Submission Timeline,Cholera Rank,V. vulnificus Submission Timeline,V. vulnificus Rank,V. parahaemolyticus Submission Timeline,V. parahaemolyticus Rank,Other Vibrio Submission Timeline,Other Vibrio Rank,Cryptosporidium Submission Timeline,Cryptosporidium Rank,Cyclospora Submission Timeline,Cyclospora Rank,Giardia Submission Timeline,Giardia Rank,Trichinella Submission Timeline,Trichinella Rank,Hepatitis A Submission Timeline,Hepatitis A Rank,Mycobacterium Bovis Submission Timeline,Mycobacterium Bovis Rank
Vermont,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately  ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
South Carolina,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days ,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
Alabama,Reporting Timeline: 7 days,4,Reporting Timeline:  24 hours ,3,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,2,Not Reportable,N
New Hampshire,Reporting Timeline: 24 hours,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours ,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  72 hours; Isolate required: N,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  72 hours; Isolate required: N,3,Not Reportable,N,Reporting Timeline:  72 hours ,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  72 hours,2,Reporting Timeline:  24 hours,2,Not Reportable,N
Washington,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: Y,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Not Reportable,N,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  24 hours,2,Not Reportable,N
Utah,Reporting Timeline: 3 business days,4,Reporting Timeline:  24 hours ,3,Reporting Timeline:  3 business days; Isolate required: Y,4,Reporting Timeline:  3 business days ,4,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  3 business days; Isolate required: Y,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  3 business days ,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  3 business days ,3,Reporting Timeline:  3 business days ,3,Reporting Timeline:  3 business days ,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  24 hours,2,Not Reportable,N
Illinois,Reporting Timeline: 7 days,4,Reporting Timeline:  3 hours ,2,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Not Reportable,N
North Carolina,Reporting Timeline: 7 days,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  24 hours; Isolate required: N,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  7 days ,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  24 hours,2,Not Reportable,N
Arkansas,Reporting Timeline: 24 hours,2,Reporting Timeline:  Immediately ,1,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours; Isolate required: N,1,Reporting Timeline:  24 hours; Isolate required: Y,1,Reporting Timeline:  24 hours ,2,Reporting Timeline:  24 hours; Isolate required: N,1,Not Reportable,N,Reporting Timeline:  24 hours ,1,Reporting Timeline:  24 hours ,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Reporting Timeline:  24 hours,1,Not Reportable,N,Reporting Timeline:  24 hours,2,Not Reportable,N
California,Reporting Timeline: Immediately,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Immediately; Isolate required: N,1,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,3,Not Reportable,N
Louisiana,Reporting Timeline: 24 hours,2,Reporting Timeline:  24 hours ,3,Reporting Timeline:  1 business day; Isolate required: N,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  End of business week; Isolate required: N,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  End of business week ,3,Reporting Timeline:  24 hours ,2,Reporting Timeline:  End of business week ,3,Reporting Timeline:  End of business week ,3,Reporting Timeline:  End of business week ,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  End of business week,3,Reporting Timeline:  1 business days,3,Not Reportable,N
Idaho,Reporting Timeline: 1 business day,3,Reporting Timeline:  Immediately ,1,Reporting Timeline:  1 business day; Isolate required: N,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  3 business days; Isolate required: N,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: N,2,Reporting Timeline:  3 business days ,4,Reporting Timeline:  3 business days ,3,Reporting Timeline:  1 business day; Isolate required: ,3,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  3 business days,3,Not Reportable,N,Reporting Timeline:  3 business days,3,Reporting Timeline:  3 business days,3,Reporting Timeline:  1 business day,3,Not Reportable,N
Nevada,Reporting Timeline: 1 business day,3,Reporting Timeline:  24 hours ,3,Reporting Timeline:  1 business day; Isolate required: Y,3,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day; Isolate required: Y,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,3,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day ,2,Reporting Timeline:  1 business day,1,Not Reportable,N,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,1,Reporting Timeline:  1 business day,3,Not Reportable,N
Pennsylvania,Reporting Timeline: 5 business days ,4,Reporting Timeline:  24 hours ,3,Reporting Timeline:  24 hours; Isolate required: Y,2,Reporting Timeline:  24 hours ,2,Reporting Timeline:  5 business days; Isolate required: N,4,Reporting Timeline:  5 business days; Isolate required: Y,4,Reporting Timeline:  24 hours ,2,Reporting Timeline:  5 work days; Isolate required: Y,3,Reporting Timeline:  5 work days ,4,Reporting Timeline:  5 business days ,3,Reporting Timeline:  24 hours ,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  5 business days,3,Not Reportable,N,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,4,Not Reportable,N
Kansas,Reporting Timeline: 7 days ,4,Reporting Timeline:  4 hours ,2,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  7 days; Isolate required: Y,4,Reporting Timeline:  7 days ,4,Reporting Timeline:  7 days; Isolate required: Y,4,Not Reportable,N,Reporting Timeline:  7 days ,4,Reporting Timeline:  4 hours ,1,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Not Reportable,N
Montana,Reporting Timeline: 7 days ,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  Same day; Isolate required: N,1,Not Reportable,N,Reporting Timeline:  Same day; Isolate required: N,1,Reporting Timeline:  7 days; Isolate required: N,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  7 days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  7 days ,4,Reporting Timeline:  Same day ,2,Not Reportable,N,Not Reportable,N,Not Reportable,N,Reporting Timeline:  7 days,4,Not Reportable,N,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Reporting Timeline:  7 days,4,Not Reportable,N
Alaska,Reporting Timeline: 5 business days ,4,Reporting Timeline:  Immediately ,1,Reporting Timeline:  5 business days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  5 business days; Isolate required: N,4,Reporting Timeline:  5 business days; Isolate required: N,4,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days; Isolate required: N,4,Not Reportable,N,Reporting Timeline:  5 business days ,3,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days ,4,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,4,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,3,Reporting Timeline:  5 business days,4,Not Reportable,N
